"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","SnagPlotSize","BrkPntDia","Species.Symbol","Visited"
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",111,"L",44.3,12.9,100,"C",0.4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",112,"L",55.4,13,100,"C",1.6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",113,"L",50.55,7.6,100,"I",1.8,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",114,"L",15.1,5.2,90,"S",0.1,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_181","PostBurnYear1","8/25/2022 3:39:10 PM",115,"L",45.2,12.2,80,"C",4,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",85,"L",23.7,7.3,90,"S",1.8,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",86,"D",95.2,3,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",90,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gone.",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",91,"L",19.8,10.7,100,"I",1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",92,"L",11.25,5,40,"S",3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",93,"L",91,15.3,70,"C",1.2,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_177","PostBurnYear1","8/25/2022 2:58:49 PM",94,"L",68.5,13.2,80,"C",1,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",41,"D",39.85,8.6,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",42,"L",73.6,6.8,30,"I",2.2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",45,"L",22.95,7.6,100,"S",1.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",46,"L",34.2,10.5,90,"C",1.9,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",47,"L",41.65,12.2,90,"C",1.9,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",48,"L",34.3,10,80,"I",2.1,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",49,"L",56.4,14,80,"C",5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_175","PostBurnYear1","8/25/2022 2:57:20 PM",50,"L",63.35,13.7,80,"C",3,NA,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",199,"D",54.3,4.4,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",202,"L",8.1,5.9,60,"I",4.3,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,4.5,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",203,"L",23.05,7.2,70,"I",4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",204,"L",11.35,6.3,60,"I",3.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,3.1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",205,"L",17.45,6.8,80,"I",3.8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,3,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",206,"L",12.85,6.7,90,"I",3.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,2.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",207,"D",48.4,11,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",208,"L",61.05,15.2,90,"C",0.8,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",209,"L",41.1,14.6,80,"I",1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",210,"L",10.35,5.2,100,"S",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"PIJE",""
"_200","PostBurnYear1","8/25/2022 3:42:52 PM",211,"L",63.4,9.8,100,"I",0.6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,0.04,7.6,"","True"
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",131,"L",9.8,6.3,100,"I",1.7,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",132,"L",11.35,6.3,100,"I",2,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",133,"L",10.75,7.1,90,"I",3.2,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",134,"L",14.9,8.4,100,"C",2.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",135,"L",11.6,7.3,100,"I",1.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",136,"L",9.35,7.5,100,"I",3.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
"_195","PostBurnYear1","8/25/2022 3:39:51 PM",137,"L",11.4,6.5,90,"I",2.5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"QUKE",""
