Plot #,Tag #,Species ,Status,DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_151,595,QUKE,L,15.7,8.3,100,O,0.3,1.75,,0.05,,,,0,PRVI_ST,,
_152,,,,,,,,,,,,,,,,,,
_152,203,PIJE,L,54.3,20.2,100,C,10.6,3.25,,5.2,,,,,,,
_152,204,PIJE,L,20.15,8.6,100,I,3.2,1.4,,1.4,,,,,,,
_152,205,PIJE,L,64.5,19.8,100,C,10.6,3.5,,0.5,,,,,,,
_152,206,PIJE,L,64.3,21.8,100,C,11.2,3,,0.4,,,,,,,
_152,207,PIJE,L,49.15,17,100,C,13.2,2.75,,0.3,,,,,,,
_152,208,PIJE,L,50.2,18.2,100,C,7.6,2.5,,0,,,,,,,
_153,,,,,,,,,,,,,,,,,,
_153,174,QUKE,D,58.85,9,,,,,3,,,,,,,,
_153,175,QUKE,D,,,,,,,,,,,,,,,
_153,176,QUKE,D,51.85,7,,,,,2,,,,,,,,
_154,,,,,,,,,,,,,,,,,,
_154,101,PIJE,L,8.5,3.1,100,I,0.3,0.75,,0,,,,,,,
_154,102,PIJE,L,41.9,18.2,80,C,11.2,2,,0.2,,,,,,,
_154,103,PIJE,L,47.2,19,90,C,10.4,2.5,,0.2,,,,,,,
_154,104,PIJE,L,26.3,10.9,90,I,4.6,1.75,,0.5,,,,,,,
_154,105,PIJE,L,9.95,3.9,100,S,0.5,1.4,,0.7,,,,,,,
_154,106,QUKE,L,91.1,18.4,100,C,1.5,4.5,,0,,,,,,,
_154,107,PIJE,L,49.5,15,80,C,10.4,2,,0,,,,,,,
_156,,,,,,,,,,,,,,,,,,
_156,151,QUCH2,L,13.95,7,90,I,0.1,1.5,,0,,,,,,,
_156,152,QUCH2,L,26.5,10.2,90,I,0.5,3.5,,0,,,,,,,
_156,153,QUCH2,L,24.9,10.5,90,I,2,3,,0,,,,,,,
_156,154,PIJE,D,11.35,3.4,,,,,1,0,,,,,,,
_156,155,PIJE,L,20.8,10.8,40,I,6.2,1.5,,2.5,,,,,,,
_156,156,PIJE,L,32.8,12,70,C,5.6,1.75,,4,,,,,,,
_156,157,PIJE,D,,,,,,,1,,,,,,,,
_156,158,PIJE,L,26.9,9.7,70,I,2.5,1,,2,,,,,,,
_156,159,QUKE,D,10.3,1.5,,,,,5,1.5,,,,,,,
_156,160,QUKE,L,58.8,9.2,70,C,0.1,4.25,,0,,,,,,,
_156,161,PIJE,L,14.8,8,90,I,2,0.85,,0.4,,,,,,,
_156,162,PIJE,L,20.3,7,80,S,3.8,1.25,,1,,,,,,,
_156,163,PIJE,L,31.5,11.8,90,C,2.1,1.45,,1.4,,,,,,,
_156,165,PIJE,L,13.85,6.2,90,S,1.9,1.2,,0.5,,,,,,,
_156,166,QUKE,L,46.1,6.4,90,I,1.1,3.75,,0,,,,,,,
_156,167,QUKE,D,29.3,2.7,,,,,3,0,,,,,,,
_156,168,QUKE,L,34.55,9,80,S,0.4,2,,0,,,,,,,
_156,169,QUKE,L,55.3,8.4,90,S,2.2,1.5,,0,,,,,,,
_156,170,QUKE,L,47.4,15,90,C,8.6,4.5,,0,,,,,,,
_156,171,QUKE,L,32.1,10.8,80,S,5.4,1.25,,0,,,,,,,
_156,964,PIJE,L,13.9,5.4,90,S,2.1,1,,0,,,,,,,
_157,,,,,,,,,,,,,,,,,,
_157,141,PIJE,L,47.5,17.8,30,C,13.8,1.75,,7.2,,,,,,,
_157,142,PIJE,L,63.5,20.4,70,C,15,2.5,,5.2,,,,,,,
_157,146,QUKE,L,43.6,5,5,I,5,0.25,,0,,,,,,,
_157,147,PIJE,L,52.7,18.6,80,C,12.8,2.75,,3.1,,,,,,,
_157,148,PIJE,L,60.8,22.2,90,C,12.4,2.38,,6.2,,,,,,,
_158,,,,,,,,,,,,,,,,,,
_158,109,PIJE,L,51.65,15.2,60,C,11.6,2.5,,0,,,,,,,
_158,110,QUKE,L,116.4,6,40,S,1.8,1.5,,0,,,,,,,
_158,113,PIJE,L,8,4.2,60,S,1.7,0.5,,0,,,,,,,
_158,114,PIJE,L,49.3,16.2,80,C,8.4,2.25,,0,,,,,,,
_158,116,PIJE,L,36.6,18.2,80,C,10.2,1.6,,0,,,,,,,
_158,117,PIJE,L,25.55,12.6,30,I,10,1,,0,,,,,,,
_158,118,QUKE,L,65.1,14.6,100,C,2.5,4.5,,0,,,,,,,
_158,119,QUKE,L,70.45,15.6,100,C,0.3,4.25,,0,,,,,,,
_158,120,PIJE,L,14.7,5,90,S,1.5,1.25,,0,,,,,,,
_158,121,PIJE,L,12.4,4.8,70,S,1.8,0.75,,0,,,,,,,
_158,123,QUKE,L,21.4,8.6,100,I,0.5,2.6,,0,,,,,,,
_158,124,QUKE,L,8.45,6.5,100,I,1.5,1.25,,0,,,,,,,
_158,127,QUKE,L,26,8,100,I,0.7,3.25,,0,,,,,,,
