MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_195,PostBurnYear1,2022,156,QUKE,D,N,47.65,11.5,,,,,3,4,,,,N,N,,,,
_195,PostBurnYear1,2022,159,QUKE,L,N,13.4,7.3,80,I,1.2,2.25,,0,,,,Y,Y,25,10,2,
_195,PostBurnYear1,2022,162,QUKE,L,N,11.3,7.4,70,I,2,2,,0,,,,Y,N,,,,
_195,PostBurnYear1,2022,163,QUKE,L,N,10.8,5,90,I,1.4,1.5,,0,,,,Y,Y,40,15,1,
_195,PostBurnYear1,2022,165,QUKE,L,N,15.9,7,100,I,1.1,2.5,,0,,,,Y,N,,,,
_196,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_196,PostBurnYear1,2022,166,QUKE,D,N,39.5,3.8,,,,,5,3.8,,,,N,N,,,,
_196,PostBurnYear1,2022,167,QUKE,D,N,36.5,2.2,,,,,5,2.2,,,,N,N,,,,
_196,PostBurnYear1,2022,168,QUKE,L,N,15.15,6.6,100,I,0.2,2,,0,,,,Y,N,,,,
_196,PostBurnYear1,2022,171,QUKE,L,N,46.2,12.3,100,C,0.9,3.5,,0,,,,N,N,,,,
_196,PostBurnYear1,2022,172,QUKE,D,N,22.35,6.2,,,,,5,0,,,,N,N,,,,
_196,PostBurnYear1,2022,173,QUKE,L,N,56.8,11,100,C,1.4,4.5,,0,,,,N,N,,,,
_196,PostBurnYear1,2022,174,QUKE,L,N,16.9,9.3,100,I,1.6,2.25,,0,,,,N,Y,30,17,2,
_196,PostBurnYear1,2022,175,QUKE,L,N,64.35,12.2,90,C,0.5,4,,0.64,,,,N,N,,,,
_197,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_197,PostBurnYear1,2022,183,QUKE,L,N,43.65,7.8,80,C,2.1,4,,0.76,,,,N,N,,,,
_197,PostBurnYear1,2022,184,QUKE,L,N,36.15,11,80,C,2.3,4,,0,,,,N,N,,,,
_197,PostBurnYear1,2022,185,PIJE,L,N,35.6,11.4,80,C,6.3,2.5,,2.4,6.4,,,N,N,,,,
_197,PostBurnYear1,2022,186,PIJE,L,N,59.3,20.9,90,C,9.2,3,,5,9,,,N,N,,,,
_197,PostBurnYear1,2022,187,PIJE,L,N,47.55,20.8,70,C,10.5,2.5,,5,15.2,,,N,N,,,,
_198,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_198,PostBurnYear1,2022,189,QUKE,D,Y,,,,,,,,,,,,N,Y,66,105,23,Fell over due to fire.
_198,PostBurnYear1,2022,190,PIJE,L,N,48.45,18.6,90,D,10.6,3.25,,7.8,10.3,15,,N,N,,,,tag melted off!
_198,PostBurnYear1,2022,192,QUKE,D,Y,9.6,5.8,,,,,1,0.94,5.8,95,,N,Y,69,77,9,
_198,PostBurnYear1,2022,193,QUKE,D,Y,7.75,5.2,,,,,1,0,5.2,95,,N,Y,71,65,19,
_198,PostBurnYear1,2022,194,QUKE,D,Y,50.65,10.1,,,,,1,3.6,10.1,90,,N,Y,30,67.5,10,"194,195 same resprout. Tag melted off!"
_198,PostBurnYear1,2022,195,QUKE,D,Y,38.3,12,,,,,1,4.6,12,90,,N,Y,30,67.5,10,"194,195 same resprout"
_198,PostBurnYear1,2022,197,PIJE,D,N,,,,,,,,,,,,N,N,,,,Fell over due to fire.
