"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","SnagPlotSize","BrkPntDia","Species.Symbol","Visited"
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",864,"L",8.4,6,100,"I",1.2,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",868,"L",18.65,8.4,100,"I",1.4,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",869,"L",35.1,12.8,90,"I",2.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE",""
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",870,"L",11.4,6.2,80,"S",2.2,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",871,"L",57.1,20.5,100,"C",9.2,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE",""
"_147","PostBurnYear1","9/30/2021 2:12:44 PM",873,"L",37.1,8.2,20,"C",1.4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,7.6,"","True"
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",585,"L",27.5,10.8,90,"C",1,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",587,"L",9.95,6,60,"I",1.4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",588,"L",10.8,6.5,70,"I",1.5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",589,"L",15,8,90,"C",1.75,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",591,"L",13.55,8.2,100,"C",1.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",592,"L",8.25,5,100,"I",1.1,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",594,"L",10.9,5,100,"I",0.5,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_151","PostBurnYear1","8/30/2021 2:15:02 PM",595,"L",16.8,7.2,100,"O",0.7,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,7.6,"","True"
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",849,"L",60.1,19.2,100,"C",6.5,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE",""
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",851,"D",17.6,6.5,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE",""
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",854,"L",54,8.2,70,"C",1,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",855,"L",50.6,10.8,90,"C",0.4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
"_146","PostBurnYear1","9/30/2021 2:12:06 PM",866,"L",52.5,11.8,100,"C",1,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE",""
