MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_156,PostBurnYear2,2022,169,QUKE,L,N,55.5,90,N,N,,,,
_156,PostBurnYear2,2022,170,QUKE,L,N,47.5,90,N,N,,,,
_156,PostBurnYear2,2022,171,QUKE,L,N,32.5,90,N,N,,,,
_156,PostBurnYear2,2022,964,PIJE,L,N,14.1,80,N,N,,,,
_157,PostBurnYear2,2022,,,,,,,,,,,,
_157,PostBurnYear2,2022,141,PIJE,L,N,47.1,50,N,N,,,,
_157,PostBurnYear2,2022,142,PIJE,L,N,63.4,90,N,N,,,,
_157,PostBurnYear2,2022,146,QUKE,L,N,,5,N,N,,,,Now a sapling. 
_157,PostBurnYear2,2022,147,PIJE,L,N,53.35,90,N,N,,,,
_157,PostBurnYear2,2022,148,PIJE,L,N,61.8,100,N,N,,,,
_158,PostBurnYear2,2022,,,,,,,,,,,,
_158,PostBurnYear2,2022,109,PIJE,L,N,52.4,90,N,N,,,,
_158,PostBurnYear2,2022,110,QUKE,L,N,119.7,40,N,N,,,,
_158,PostBurnYear2,2022,113,PIJE,L,N,8.2,70,N,N,,,,
_158,PostBurnYear2,2022,114,PIJE,L,N,49.9,90,N,N,,,,
_158,PostBurnYear2,2022,116,PIJE,L,N,36.5,20,N,N,,,,
_158,PostBurnYear2,2022,117,PIJE,L,N,25.6,10,N,N,,,,
_158,PostBurnYear2,2022,118,QUKE,L,N,66.1,90,N,N,,,,
_158,PostBurnYear2,2022,119,QUKE,L,N,75.8,90,N,N,,,,
_158,PostBurnYear2,2022,120,PIJE,L,N,15.1,90,N,N,,,,
_158,PostBurnYear2,2022,121,PIJE,L,N,12.85,90,N,N,,,,
_158,PostBurnYear2,2022,123,QUKE,L,N,22.4,100,N,N,,,,
_158,PostBurnYear2,2022,124,QUKE,L,N,9.2,100,N,N,,,,
_158,PostBurnYear2,2022,127,QUKE,L,N,26.65,100,N,N,,,,
_158,PostBurnYear2,2022,131,PIJE,L,N,42.5,90,N,N,,,,
_158,PostBurnYear2,2022,133,PIJE,L,N,10.35,10,N,N,,,,
_158,PostBurnYear2,2022,134,PIJE,L,N,63.6,90,N,N,,,,
_158,PostBurnYear2,2022,135,PIJE,L,N,43.2,90,N,N,,,,
_158,PostBurnYear2,2022,138,PIJE,L,N,13.15,70,N,N,,,,
_158,PostBurnYear2,2022,139,PIJE,D,N,13.6,,N,N,,,,
_158,PostBurnYear2,2022,140,PIJE,L,N,44,40,N,N,,,,
