,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
147,147,_156,PostBurnYear1,8/30/2021 14:17,168,L,34.55,9,80,S,0.4,2,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,34.55,80,N,N,NA,NA,NA,NA,old_exp_2021
148,148,_156,PostBurnYear1,8/30/2021 14:17,169,L,55.3,8.4,90,S,2.2,1.5,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,55.3,90,N,N,NA,NA,NA,NA,old_exp_2021
149,149,_156,PostBurnYear1,8/30/2021 14:17,170,L,47.4,15,90,C,8.6,4.5,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,47.4,90,N,N,NA,NA,NA,NA,old_exp_2021
150,150,_156,PostBurnYear1,8/30/2021 14:17,171,L,32.1,10.8,80,S,5.4,1.25,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,32.1,80,N,N,NA,NA,NA,NA,old_exp_2021
151,151,_156,PostBurnYear1,8/30/2021 14:17,964,L,13.9,5.4,90,S,2.1,1,NA,0,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,13.9,90,N,N,NA,NA,NA,NA,old_exp_2021
1058,1058,_150,PostBurnYear1,8/30/2021 14:14,837,L,67.6,16.6,60,C,1.6,4.5,NA,0,NA,NA,NA,NA,NA,QUKE,yr2,treat4,control,old,2021,QUKE,L,N,67.6,60,N,N,NA,NA,NA,NA,old_exp_2021
1059,1059,_150,PostBurnYear1,8/30/2021 14:14,838,L,48.9,11.5,80,C,1.7,4.75,NA,0,NA,NA,NA,NA,NA,QUKE,yr2,treat4,control,old,2021,QUKE,L,N,48.9,80,N,N,NA,NA,NA,NA,old_exp_2021
1060,1060,_150,PostBurnYear1,8/30/2021 14:14,840,L,13.3,6.5,100,I,1,2.1,NA,0,NA,NA,NA,NA,NA,QUKE,yr2,treat4,control,old,2021,QUKE,L,N,13.3,100,N,N,NA,NA,NA,NA,old_exp_2021
1061,1061,_150,PostBurnYear1,8/30/2021 14:14,842,L,10.7,6,80,I,0.2,1.6,NA,0,NA,NA,NA,NA,NA,QUKE,yr2,treat4,control,old,2021,QUKE,L,N,10.7,80,N,N,NA,NA,NA,NA,old_exp_2021
1062,1062,_150,PostBurnYear1,8/30/2021 14:14,843,D,64.85,17.4,NA,NA,NA,NA,2,2.5,NA,NA,NA,NA,NA,QUKE,yr2,treat4,control,old,2021,QUKE,D,N,64.85,NA,N,N,NA,NA,NA,NA,old_exp_2021
