,macro_plot_name,monitoring_status,date,size_cl_dia,status,avg_ht,comment,tag_no,top_kill_y_n,resprout_y_n,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,basal_resprout_count,uv2,uv3,uv1desc,uv2desc,uv3desc,sa_comment,species_symbol,treatment_burn,experiment
556,_177,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
557,_177,PreBurn,8/28/2021,6.1,L,4.5,NA,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
558,_177,PreBurn,8/28/2021,0.55,L,1.6,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
559,_177,PreBurn,8/28/2021,1.6,L,2.2,NA,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
560,_179,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
561,_179,PreBurn,8/28/2021,4.35,L,3.9,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
562,_179,PreBurn,8/28/2021,4.85,L,2.7,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
563,_179,PreBurn,8/28/2021,1.3,L,1.45,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE,dormant_burn,new
564,_179,PreBurn,8/28/2021,2.95,L,2,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE,dormant_burn,new
565,_179,PreBurn,8/28/2021,0.7,L,1.5,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
566,_179,PreBurn,8/28/2021,5.75,L,4.3,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
567,_180,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
568,_180,PreBurn,8/28/2021,3.7,L,3.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
569,_180,PreBurn,8/28/2021,2.1,L,3.4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
570,_180,PreBurn,8/28/2021,1.1,L,1.8,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
571,_180,PreBurn,8/28/2021,0.75,L,1.8,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
572,_181,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
573,_181,PreBurn,8/28/2021,1.2,L,1.4,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE,dormant_burn,new
574,_181,PreBurn,8/28/2021,0.4,L,1.5,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
575,_195,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
576,_195,PreBurn,8/28/2021,2.4,L,3.2,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
577,_195,PreBurn,8/28/2021,1.3,L,2.1,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
578,_195,PreBurn,8/28/2021,4.3,L,4.2,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
579,_195,PreBurn,8/28/2021,0.35,L,1.6,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
580,_195,PreBurn,8/28/2021,6.9,L,4.5,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
581,_195,PreBurn,8/28/2021,6.8,L,4.1,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
582,_195,PreBurn,8/28/2021,0.8,L,1.8,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
583,_195,PreBurn,8/28/2021,0.25,L,1.5,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
584,_195,PreBurn,8/28/2021,1.4,L,2,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
585,_195,PreBurn,8/28/2021,1.4,L,2.2,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
586,_195,PreBurn,8/28/2021,1.4,L,2.2,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
587,_195,PreBurn,8/28/2021,4.3,L,4,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
588,_195,PreBurn,8/28/2021,1,L,2.2,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
589,_196,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
590,_196,PreBurn,8/28/2021,3.45,L,3.4,NA,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
591,_196,PreBurn,8/28/2021,1.35,L,2,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
592,_197,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,dormant_burn,new
593,_197,PreBurn,8/28/2021,5,L,4.2,NA,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
594,_197,PreBurn,8/28/2021,2.2,L,2.5,NA,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
595,_197,PreBurn,8/28/2021,0.6,L,1.6,NA,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
596,_197,PreBurn,8/28/2021,0.25,L,1.4,NA,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
597,_197,PreBurn,8/28/2021,2,L,1.4,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
598,_197,PreBurn,8/28/2021,3.95,L,3.7,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
599,_197,PreBurn,8/28/2021,0.9,L,1.7,NA,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
600,_197,PreBurn,8/28/2021,1.15,L,2,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,dormant_burn,new
601,_198,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,leafout_burn,new
602,_198,PreBurn,8/28/2021,0.85,L,1.8,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
603,_198,PreBurn,8/28/2021,2.9,L,3.5,NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
604,_198,PreBurn,8/28/2021,0.6,D,1.5,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
605,_199,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,leafout_burn,new
606,_199,PreBurn,8/28/2021,0.4,L,1.5,NA,219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
607,_199,PreBurn,8/28/2021,7,L,4.4,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
608,_200,PreBurn,8/28/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,leafout_burn,new
609,_200,PreBurn,8/28/2021,3,L,3.1,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
610,_200,PreBurn,8/28/2021,4,L,2.4,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,leafout_burn,new
637,_190,PostBurnYear1,9/26/2022 11:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tag,NA,NA,NA,NA,control,new
638,_190,PostBurnYear1,9/26/2022 11:06,1.8,L,2.1,NA,233,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,new
639,_190,PostBurnYear1,9/26/2022 11:06,7.2,L,4.1,NA,234,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,new
640,_190,PostBurnYear1,9/26/2022 11:06,3.6,L,3.2,NA,235,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,new
641,_190,PostBurnYear1,9/26/2022 11:06,2.4,L,2.4,NA,237,N,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE,control,new
