"","macro_plot_name","monitoring_status","date","size_cl_dia","status","avg_ht","comment","tag_no","top_kill_y_n","resprout_y_n","epicormic_resprout_y_n","basal_resprout_y_n","basal_resprout_height_cm","basal_resprout_width_cm","basal_resprout_count","uv2","uv3","uv1desc","uv2desc","uv3desc","sa_comment","species_symbol","treatment_burn","experiment"
"67","_132","PostBurnYear2","9/26/2022 11:11",0.8,"L",1.6,NA,633,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"68","_132","PostBurnYear2","9/26/2022 11:11",4.8,"D",2.1,NA,625,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"69","_132","PostBurnYear2","9/26/2022 11:11",0,"D",NA,NA,627,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"70","_132","PostBurnYear2","9/26/2022 11:11",3.25,"D",1.7,NA,629,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"71","_133","PostBurnYear2","9/26/2022 11:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"72","_133","PostBurnYear2","9/26/2022 11:12",4.2,"D",2.9,NA,686,"Y","Y","N","Y",121,165,33,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"73","_128","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"74","_128","PreBurn","8/19/2020 17:07",0.8,"L",1.8,"CEBE_ST",651,NA,NA,NA,NA,NA,NA,NA,"0",2.3,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"75","_128","PreBurn","8/19/2020 17:07",3.7,"L",2.7,"PIJE_TOV",654,NA,NA,NA,NA,NA,NA,NA,"0.1",4,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"76","_128","PreBurn","8/19/2020 17:07",0.4,"L",1.4,"QUKE_TSE",656,NA,NA,NA,NA,NA,NA,NA,"0.8",2,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"77","_128","PreBurn","8/19/2020 17:07",2.9,"L",3.2,"ROCA_SM",658,NA,NA,NA,NA,NA,NA,NA,"0.1",0,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"78","_128","PreBurn","8/19/2020 17:07",1.9,"L",3,"ROCA_SM",659,NA,NA,NA,NA,NA,NA,NA,"0",0.2,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"79","_128","PreBurn","8/19/2020 17:07",2.1,"L",2.2,"ROCA_SM",660,NA,NA,NA,NA,NA,NA,NA,"0.2",0.1,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"80","_128","PreBurn","8/19/2020 17:07",1.3,"L",2,"ROCA_SL",661,NA,NA,NA,NA,NA,NA,NA,"0.1",0.8,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"81","_128","PreBurn","8/19/2020 17:07",5.2,"L",4.1,"ROCA_ST",662,NA,NA,NA,NA,NA,NA,NA,"0",0.1,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"82","_128","PreBurn","8/19/2020 17:07",1.4,"L",2.1,"QUKE_TSA",665,NA,NA,NA,NA,NA,NA,NA,"0",4,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"83","_128","PreBurn","8/19/2020 17:07",0.8,"L",1.9,"QUKE_TSA",666,NA,NA,NA,NA,NA,NA,NA,"0",3.5,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"84","_128","PreBurn","8/19/2020 17:07",1.4,"L",2.2,"QUKE_TSA",667,NA,NA,NA,NA,NA,NA,NA,"0",4,NA,NA,NA,NA,"QUKE","post_budbreak","old"
