MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_147,PostBurnYear2,9/26/2022 10:49,-2147483643,6,L,1,5,,1,,867,N,N,N,N,,,,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,-2147483642,7.1,L,1,5,,1,,872,N,N,N,N,,,,,,,,,,,,,QUKE,
_148,PostBurnYear2,9/26/2022 10:50,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_148,PostBurnYear2,9/26/2022 10:50,-2147483648,4,L,1,2.2,,1,,876,N,N,N,N,,,,,,,,,,,,,PIJE,
_148,PostBurnYear2,9/26/2022 10:50,-2147483647,3.6,L,1,2.5,,1,,881,N,N,N,N,,,,,,,,,,,,,PIJE,
_149,PostBurnYear2,9/26/2022 11:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_149,PostBurnYear2,9/26/2022 11:00,-2147483648,0.45,D,1,1.6,,1,,812,Y,Y,N,Y,66,87,19,,,,,,,,,,QUKE,
_149,PostBurnYear2,9/26/2022 11:00,-2147483647,0.55,L,1,1.55,,1,,817,N,Y,N,N,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_150,PostBurnYear2,9/26/2022 11:01,-2147483648,6.95,L,1,4.2,,1,,824,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483647,0.7,L,1,1.45,,1,,825,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483646,2.1,L,1,1.8,,1,,826,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483645,1.4,L,1,1.9,,1,,827,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483644,0.55,L,1,1.45,,1,,828,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483643,1.7,L,1,2.3,,1,,829,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483642,3.9,L,1,3,,1,,830,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483641,6.2,L,1,4.1,,1,,831,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483640,3.25,L,1,3.6,,1,,832,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483639,4.1,L,1,3,,1,,833,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483638,5.6,L,1,4,,1,,834,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483637,8.15,L,1,4.5,,1,,835,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483636,3.3,L,1,3.8,,1,,836,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483635,0.85,L,1,1.8,,1,,839,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483634,0.7,L,1,1.5,,1,,841,,N,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483633,2.1,L,1,2.3,,1,,844,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483632,3.6,L,1,3,,1,,845,,Y,,,,,,,,,,,,,,,QUKE,
_150,PostBurnYear2,9/26/2022 11:01,-2147483631,2.4,L,1,2.9,,1,,846,,N,,,,,,,,,,,,,,,QUKE,
_151,PostBurnYear2,9/26/2022 11:01,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_151,PostBurnYear2,9/26/2022 11:01,-2147483648,2.15,L,1,1.9,,1,,586,N,N,N,N,,,,,,,,,,,,,PIJE,
_151,PostBurnYear2,9/26/2022 11:01,-2147483647,1.7,L,1,2.1,,1,,590,N,Y,N,Y,55,85,13,,,,,,,,,,QUKE,
_151,PostBurnYear2,9/26/2022 11:01,-2147483646,7.5,L,1,4.4,,1,,593,N,N,N,Y,135,107,1,,,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_146,PreBurnYear1,9/17/2020 9:00,-2147483648,3.1,L,1,3.6,,1,ERCO_SL,847,,,,,,,,0.5,6,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483647,1.6,L,1,2,,1,QUKE_TSA,848,,,,,,,,1,5,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483646,1.5,L,1,2,,1,PIJE_DTOV,850,,,,,,,,1.2,5,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483645,0.65,L,1,1.45,,1,PIJE_DTOV,852,,,,,,,,0.4,4,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483644,2,L,1,1.8,,1,QUKE_TSA,853,,,,,,,,1.5,4,,,,,,,,PIJE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483643,1.3,L,1,1.9,,1,ERCO_SL,856,,,,,,,,0.7,2,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483642,2.75,L,1,3.7,,1,QUKE_TSA,857,,,,,,,,1.1,1.6,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483641,0.75,L,1,1.7,,1,QUKE_TSA,858,,,,,,,,1.1,1.4,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483640,1.25,L,1,2.5,,1,QUKE_TSA,859,,,,,,,,0.9,1.2,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483639,4.35,L,1,5,,1,QUKE_TSA,860,,,,,,,,0.55,2,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483638,4.8,L,1,6,,1,QUKE_TSA,861,,,,,,,,0.55,1.3,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483637,1.4,L,1,2.4,,1,ERCO_SL,862,,,,,,,,0.4,2.7,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483636,5.3,L,1,5,,1,QUKE_TSA,863,,,,,,,,1,1,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483635,0.8,L,1,1.7,,1,QUKE_TSA,864,,,,,,,,1,1,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483634,2.95,L,1,2.3,,1,QUKE_TSA,865,,,,,,,,1,0.8,,,,,,,,QUKE,
_146,PreBurnYear1,9/17/2020 9:00,-2147483633,1,L,1,2,,1,ERCO_SL,867,,,,,,,,0.7,0.8,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_147,PreBurnYear1,9/17/2020 9:00,-2147483648,5.6,L,1,5.8,,1,QUKE_TSA,860,,,,,,,,0.9,1.3,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483647,7.5,L,1,5.9,,1,QUKE_TSA,861,,,,,,,,0.9,2,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483646,2.15,L,1,2.2,,1,ERCO_SL,862,,,,,,,,0.5,7,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483645,3.2,L,1,4.2,,1,QUKE_TOV,865,,,,,,,,0.5,6,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483644,1.1,L,1,1.7,,1,ERCO_SL,866,,,,,,,,0.5,5,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483643,5.35,L,1,4.4,,1,ERWR_SL,867,,,,,,,,0.8,1.1,,,,,,,,QUKE,
_147,PreBurnYear1,9/17/2020 9:00,-2147483642,6.45,L,1,5.6,,1,ERCO_SL,872,,,,,,,,0.5,3,,,,,,,,QUKE,
_148,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_148,PreBurnYear1,9/17/2020 9:00,-2147483648,4.05,L,1,2.6,,1,QUKE_TSE,876,,,,,,,,0.5,2.6,,,,,,,,PIJE,
_148,PreBurnYear1,9/17/2020 9:00,-2147483647,7.6,L,1,7.6,,1,ROCA_SL,880,,,,,,,,0.1,0.9,,,,,,,,QUKE,
_148,PreBurnYear1,9/17/2020 9:00,-2147483646,4,L,1,3,,1,ROCA_SL,881,,,,,,,,0.3,2,,,,,,,,PIJE,
_149,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_149,PreBurnYear1,9/17/2020 9:00,-2147483648,5.5,L,1,1.6,,1,PIJE_TOV,812,,,,,,,,0.4,5.2,,,,,,,,QUKE,
_149,PreBurnYear1,9/17/2020 9:00,-2147483647,2,L,1,2.4,,1,SYMO_SL,817,,,,,,,,0,1.5,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_150,PreBurnYear1,9/17/2020 9:00,-2147483648,6.13,L,1,4.1,,1,QUKE_TSA,824,,,,,,,,0.7,2,,,,,,,,QUKE,
